NOC,forecast,conf_int_90_lower,conf_int_90_upper,conf_int_95_lower,conf_int_95_upper,conf_int_99_lower,conf_int_99_upper,normal,p_value,aic
Austria,3.345189749051321,2.60,4.09,2.46,4.23,2.18,4.51,True,0.09372297695804573,31.8064793472574
Namibia,0.8333333333333333,0.72,0.95,0.70,0.97,0.66,1.01,False,4.135612088445155e-06,-13.224408047641504
South Africa,5.685890997927039,5.67,5.70,5.66,5.71,5.66,5.71,True,0.4522338904019644,32.70699229974801
Belgium,9.086941401919777,9.01,9.16,9.00,9.18,8.97,9.21,True,0.9060963003977397,28.196213941928598
Croatia,10.53226166214494,8.21,12.85,7.77,13.29,6.90,14.16,True,0.7963911254036921,34.11501024269086
Iran,9.419064534617542,9.19,9.65,9.14,9.69,9.06,9.78,False,0.04405769700744917,38.188925765699
Israel,5.208841920880838,5.20,5.22,5.20,5.22,5.20,5.22,False,0.010608932559465415,17.88627861683322
Chinese Taipei,7.0,nan,nan,nan,nan,nan,nan,True,0.07240142179905733,20.0
Mexico,-2.654132292118362,-2.74,-2.57,-2.75,-2.55,-2.79,-2.52,False,0.04433784388179406,28.42063410013104
Mongolia,6.792981012847607,6.73,6.86,6.71,6.87,6.69,6.90,True,0.8680949726387129,33.98046557124352
Slovenia,-0.07420435096296352,-0.10,-0.05,-0.10,-0.05,-0.11,-0.04,True,0.2659869074296586,17.41224271786016
Argentina,1.000899422138624,0.99,1.01,0.99,1.01,0.98,1.02,True,0.5506603859852348,21.54990450667089
Bahamas,2.5975854451789027,1.94,3.26,1.81,3.38,1.57,3.63,True,0.0903889165901835,20.353629790682156
Colombia,-7.750703660616939,-8.12,-7.39,-8.19,-7.32,-8.32,-7.18,True,0.3436035609489829,37.41303134394803
Malaysia,-4.008788624475127,-4.07,-3.94,-4.09,-3.93,-4.11,-3.91,False,0.005931228065164152,31.90190254688775
Philippines,4.884286447108741,4.83,4.94,4.82,4.95,4.80,4.97,False,4.138803175758572e-06,27.428542724989583
Puerto Rico,2.133548427076941,2.10,2.17,2.09,2.17,2.08,2.19,True,0.2361583886560482,18.73067841871479
Qatar,3.28616673314289,2.63,3.94,2.50,4.07,2.26,4.32,True,0.2510177241354755,21.87406722323947
Thailand,9.487892808316934,9.32,9.66,9.28,9.69,9.22,9.76,True,0.5909092616736307,37.20720623448486
Ukraine,9.972287081049757,9.96,9.99,9.95,9.99,9.95,10.00,False,0.0053922623763362175,28.35337840762483
Czech Republic,3.2237966385562746,3.04,3.40,3.01,3.44,2.94,3.51,False,0.02285856757958853,33.4477389161932
Kazakhstan,-11.99189219734071,-12.18,-11.80,-12.22,-11.77,-12.29,-11.70,True,0.6577924858396011,39.096858427794615
Belarus,4.024221553675932,3.99,4.06,3.98,4.07,3.96,4.09,True,0.08115328519910558,20.53798073892984
Slovakia,2.9993163953831683,2.97,3.03,2.97,3.03,2.96,3.04,True,0.20334049362063122,17.778382499898328
Armenia,10.591628735718027,10.50,10.68,10.48,10.70,10.45,10.73,True,0.49573762643494934,27.691618850998438
Portugal,4.0,1.85,6.15,1.43,6.57,0.63,7.37,True,0.27299165714147194,25.63811497006216
Ecuador,5.221994744287606,5.21,5.23,5.21,5.24,5.20,5.24,True,0.32975321650049205,9.120577969024826
Hong Kong,2.0000070984174796,1.98,2.02,1.98,2.02,1.97,2.03,False,4.144974592557521e-06,14.217369667211717
Moldova,10.993130698348763,10.96,11.03,10.96,11.03,10.94,11.04,True,0.7892175699359079,13.85419326159216
Uzbekistan,6.6980445386201595,6.49,6.90,6.45,6.94,6.38,7.02,True,0.2255608449661634,40.7174059016766
Azerbaijan,7.856936430767147,-2.67,18.38,-4.68,20.40,-8.62,24.34,True,0.06468133624849917,44.44245775783931
Georgia,9.999035893245193,9.98,10.02,9.98,10.02,9.97,10.03,False,0.005769805329511001,15.692234564987213
Trinidad and Tobago,0.4793128358140686,0.47,0.49,0.47,0.49,0.47,0.49,True,0.3359252987330782,18.980518956790196
India,5.002816849375079,4.95,5.06,4.94,5.07,4.91,5.09,True,0.07607364679280734,23.631857059208
Tunisia,3.5004138828037403,3.49,3.51,3.48,3.52,3.48,3.52,False,0.005081603401038343,15.211373293349409
Uganda,2.0,0.19,3.81,-0.16,4.16,-0.84,4.84,True,0.09721870348270896,23.22423156597568
Vietnam,3.0,2.05,3.95,1.87,4.13,1.51,4.49,False,0.0012407259151036277,7.2177943338021695
Chile,1.6428604781310239,0.40,2.88,0.17,3.12,-0.30,3.58,True,0.9362092211207075,18.778496358880332
Kyrgyzstan,9.0,5.45,12.55,4.77,13.23,3.44,14.56,True,0.1612392776764603,15.134966322103534
Egypt,4.322657151005437,4.29,4.35,4.29,4.36,4.28,4.37,True,0.515643678347792,16.252842542764967
Dominican Republic,9.168798803871965,9.14,9.20,9.13,9.20,9.12,9.22,True,0.901973654473338,16.97671204177265
Singapore,0.00018098337892524796,-0.02,0.02,-0.02,0.02,-0.03,0.03,True,0.9760394278642952,8.63736956299405
