NOC,Events,Medals,Golds,LNM,CV,CONTIN,Focus
JOR,78,4,1,1.6094379124341003,0.36487819155789,1.0,1.0
KSA,107,4,0,1.6094379124341003,0.18784814245085776,1.0,1.0
CIV,87,4,1,1.6094379124341003,0.23890355966467272,1.0,1.0
BOT,64,4,1,1.6094379124341003,0.3408972535823661,1.0,1.0
FIJ,112,4,2,1.6094379124341003,0.5906369788764724,1.0,1.0
CMR,114,3,3,1.3862943611198906,0.2468639873591279,1.0,1.0
CRC,101,3,1,1.3862943611198906,0.34582671676382143,1.0,1.0
KUW,91,3,0,1.3862943611198906,0.3137165367828615,0.5,1.0
GUA,162,3,1,1.3862943611198906,0.23277416833289882,1.0,1.0
SMR,54,3,0,1.3862943611198906,0.5719794522770556,1.0,1.0
SYR,70,3,1,1.3862943611198906,0.18952141659173716,1.0,1.0
LCA,34,2,1,1.0986122886681098,0.22782254977690689,0.5,1.0
MKD,76,2,0,1.0986122886681098,0.46482951928041305,0.5,1.0
PER,177,2,0,1.0986122886681098,0.3721101423745788,1.0,1.0
PAN,79,2,1,1.0986122886681098,0.351251567734471,1.0,1.0
PAK,81,2,1,1.0986122886681098,0.21596118129056668,1.0,1.0
MOZ,51,2,1,1.0986122886681098,0.33275613232308116,1.0,1.0
ISL,143,2,0,1.0986122886681098,0.42628673158400476,1.0,1.0
BDI,48,2,1,1.0986122886681098,0.2763853991962833,0.5,1.0
AFG,31,2,0,1.0986122886681098,0.31606319261718424,0.3333333333333333,1.0
CYP,166,2,0,1.0986122886681098,0.17166032347921698,1.0,1.0
UAE,79,2,1,1.0986122886681098,0.5172864997899379,1.0,1.0
ZAM,73,2,0,1.0986122886681098,0.1786082850740452,1.0,1.0
ALB,73,2,0,1.0986122886681098,0.24960091997655615,1.0,1.0
GHA,94,2,0,1.0986122886681098,0.28939298954756265,1.0,1.0
CPV,31,1,0,0.6931471805599453,0.4550559993440608,0.5,1.0
BAR,114,1,0,0.6931471805599453,0.4603383074877869,1.0,1.0
NIG,44,1,0,0.6931471805599453,0.3116206636545929,1.0,1.0
DMA,24,1,1,0.6931471805599453,0.47140452079103173,0.5,1.0
EOR,69,1,0,0.6931471805599453,0.13043478260869565,0.125,1.0
SUD,47,1,0,0.6931471805599453,0.3350641648515664,1.0,1.0
ERI,45,1,0,0.6931471805599453,0.361068373539376,0.3333333333333333,1.0
SUR,54,1,0,0.6931471805599453,0.35136418446315326,1.0,1.0
MRI,122,1,0,0.6931471805599453,0.38270877147307386,1.0,1.0
MNE,42,1,0,0.6931471805599453,0.09523809523809523,0.2,1.0
PAR,77,1,0,0.6931471805599453,0.2648841305762486,1.0,1.0
TKM,69,1,0,0.6931471805599453,0.16332503868963252,0.5,1.0
URU,120,1,0,0.6931471805599453,0.16583123951777,1.0,1.0
TGA,41,1,0,0.6931471805599453,0.29470843838035543,1.0,1.0
GAB,49,1,0,0.6931471805599453,0.1527207096642425,1.0,1.0
BER,72,1,1,0.6931471805599453,0.5773502691896257,1.0,1.0
SRI,95,1,0,0.6931471805599453,0.32238721749712745,1.0,1.0
TOG,39,1,0,0.6931471805599453,0.21757131728816848,1.0,1.0
BUR,50,1,0,0.6931471805599453,0.256124969497314,1.0,1.0
SKN,28,0,0,0.0,0.31943828249996997,0.5,0.0
SLE,44,0,0,0.0,0.6915965479410426,1.0,0.0
SEY,80,0,0,0.0,0.43874821936960606,1.0,0.0
SEN,125,0,0,0.0,0.26820887382784336,1.0,0.0
SOM,17,0,0,0.0,0.3673528234351999,0.5,0.0
SOL,24,0,0,0.0,0.3535533905932738,1.0,0.0
BRU,15,0,0,0.0,0.38873012632302,0.3333333333333333,0.0
CAF,49,0,0,0.0,0.7249926395237392,1.0,0.0
BIZ,34,0,0,0.0,0.6576670522058206,1.0,0.0
SSD,8,0,0,0.0,0.1767766952966369,0.14285714285714285,0.0
TUV,11,0,0,0.0,0.3401506715249037,0.2,0.0
YEM,42,0,0,0.0,0.4403152859263554,1.0,0.0
VIN,34,0,0,0.0,0.2999423243289874,1.0,0.0
AND,45,0,0,0.0,0.2309401076758503,1.0,0.0
VAN,38,0,0,0.0,0.4144214670532532,1.0,0.0
ANG,85,0,0,0.0,0.46852488827623234,1.0,0.0
ANT,58,0,0,0.0,0.5178157730234899,1.0,0.0
ARU,39,0,0,0.0,0.32635697593225277,1.0,0.0
ASA,35,0,0,0.0,0.282842712474619,1.0,0.0
BAN,51,0,0,0.0,0.2037706832433973,1.0,0.0
STP,21,0,0,0.0,0.2651316363252391,0.5,0.0
BEN,46,0,0,0.0,0.1944406936956339,1.0,0.0
TLS,15,0,0,0.0,0.38297084310253526,0.25,0.0
BHU,23,0,0,0.0,0.32536151189338625,1.0,0.0
BIH,83,0,0,0.0,0.2439573100158625,1.0,0.0
TAN,43,0,0,0.0,0.33860976229211714,1.0,0.0
SWZ,40,0,0,0.0,0.5099019513592785,1.0,0.0
SAM,67,0,0,0.0,0.41577278439355575,1.0,0.0
BOL,74,0,0,0.0,0.5088694698314252,1.0,0.0
CAM,35,0,0,0.0,0.25394841192330253,0.5,0.0
ISV,93,0,0,0.0,0.6751112753695595,1.0,0.0
RWA,53,0,0,0.0,0.25870394718494505,1.0,0.0
GEQ,31,0,0,0.0,0.5661267346704595,1.0,0.0
MAD,75,0,0,0.0,0.3346640106136302,1.0,0.0
LUX,99,0,0,0.0,0.2744056102465884,1.0,0.0
GBS,31,0,0,0.0,0.271811283005689,0.5,0.0
LIE,31,0,0,0.0,0.7509965630208267,1.0,0.0
LIB,52,0,0,0.0,0.5520269267079739,0.3333333333333333,0.0
LES,42,0,0,0.0,0.45175395145262554,1.0,0.0
LBR,30,0,0,0.0,0.39440531887330776,0.5,0.0
LBN,15,0,0,0.0,0.2,0.125,0.0
LBA,48,0,0,0.0,0.2795084971874737,1.0,0.0
LAO,37,0,0,0.0,0.33321156772805277,1.0,0.0
MAW,32,0,0,0.0,0.299739470207045,1.0,0.0
AHO,26,0,0,0.0,0.3728984505704869,0.2,0.0
KIR,17,0,0,0.0,0.13153341044116407,0.25,0.0
GUI,52,0,0,0.0,0.3535533905932738,1.0,0.0
GUM,81,0,0,0.0,0.7314228762270926,1.0,0.0
GUY,50,0,0,0.0,0.2262741699796952,1.0,0.0
HAI,68,0,0,0.0,0.286670421906146,1.0,0.0
HON,78,0,0,0.0,0.7008025830111,1.0,0.0
IRQ,47,0,0,0.0,0.40144600561942995,1.0,0.0
IVB,24,0,0,0.0,0.5,1.0,0.0
GAM,38,0,0,0.0,0.44348156700928204,1.0,0.0
FSM,32,0,0,0.0,0.22963966338592298,0.3333333333333333,0.0
CAY,56,0,0,0.0,0.2487212192354307,1.0,0.0
NRU,16,0,0,0.0,0.3535533905932738,0.5,0.0
CGO,49,0,0,0.0,0.3013229195966,1.0,0.0
CHA,27,0,0,0.0,0.5443310539518174,1.0,0.0
ROT,12,0,0,0.0,0.0,0.1111111111111111,0.0
COD,49,0,0,0.0,0.6129247925584166,1.0,0.0
COK,43,0,0,0.0,0.6377353116652134,1.0,0.0
COM,27,0,0,0.0,0.2539131333481868,0.5,0.0
PLW,31,0,0,0.0,0.23704739446288822,0.3333333333333333,0.0
PLE,34,0,0,0.0,0.49565586901037406,0.5,0.0
OMA,37,0,0,0.0,0.24173707864862595,1.0,0.0
DJI,37,0,0,0.0,0.4035995817045427,0.5,0.0
MDV,44,0,0,0.0,0.26308720233614147,1.0,0.0
NEP,51,0,0,0.0,0.28817526385684444,1.0,0.0
NCA,63,0,0,0.0,0.19047619047619047,1.0,0.0
MYA,42,0,0,0.0,0.49487165930539345,1.0,0.0
MTN,24,0,0,0.0,0.5,1.0,0.0
MON,46,0,0,0.0,0.2834435828348978,1.0,0.0
MLT,64,0,0,0.0,0.21423920626253262,1.0,0.0
MLI,49,0,0,0.0,0.1527207096642425,1.0,0.0
MHL,20,0,0,0.0,0.27386127875258304,0.2,0.0
ESA,86,0,0,0.0,0.22666963592578984,1.0,0.0
PNG,78,0,0,0.0,0.35250582268891084,1.0,0.0
